,,,,,,,Totals,,,Advanced,,,,,,,,,,,,,,,,,,,,Per 75 Possesions,,,,,,,,,,,,,,,,,,,,Shooting,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
398,Rondae Hollis-Jefferson,2020-21,26,POR,NBA,0.3,11,1,107,14.4,0.056,0.889,10.7,15.4,13,15.7,0.9,3.4,7.4,10.9,136,116,0.3,0.1,0.147,-1.4,0.8,-0.6,0,3.1,6.2,3.1,5.8,0,0.3,3.1,5.5,3.8,5.1,8.9,4.4,0.7,1.4,0.7,5.1,9.2,0.5,0.529,0,0.5,0.563,0.539
399,DaQuan Jeffries,2020-21,23,TOT,NBA,0.3,31,5,493,7.9,0.558,0.067,4.1,11.8,7.8,6.1,1.4,1.8,10.2,11.9,104,117,0,0.2,0.027,-3.8,-1.2,-5,-0.4,3.6,8.7,2.2,3.8,1.4,4.9,0.5,0.6,1.4,3.8,5.1,1.6,1.1,0.7,1,3.5,9.2,0.417,0.566,0.299,0.5,0.875,0.514
400,Louis King,2020-21,21,SAC,NBA,0.3,6,1,85,21.2,0.324,0.176,6.4,17.2,11.8,15.4,4,3,9.8,20.6,121,110,0.2,0.1,0.16,2.3,2.7,5,0.2,7.2,14.4,5.5,9.7,1.7,4.7,2.5,2.5,2.1,5.5,7.6,3.8,3,1.3,1.7,3.8,18.6,0.5,0.565,0.364,0.559,1,0.6
401,Timothé Luwawu-Cabarrot,2020-21,25,BRK,NBA,0.3,58,7,1050,7.8,0.671,0.121,3.1,10.1,6.8,8.6,1.5,0.5,10.3,17.4,100,116,-0.3,0.7,0.015,-3.2,-1.7,-4.9,-0.8,4.5,12.3,1.9,4,2.6,8.2,1.2,1.5,1,3.5,4.4,2.4,1.1,0.2,1.5,3.4,12.7,0.365,0.47,0.314,0.471,0.814,0.493
402,Thon Maker,2020-21,23,CLE,NBA,0.3,8,0,76,18.6,0.111,0.611,11.5,15.1,13.3,7.9,1.3,4.7,11.6,14.8,133,113,0.2,0.1,0.174,0.3,1.2,1.5,0.1,4.9,8.8,4.9,7.8,0,1,4.9,5.4,3.9,4.9,8.8,1.9,1,1.9,1.5,3.4,14.6,0.556,0.625,0,0.556,0.909,0.657
403,Juwan Morgan,2020-21,23,UTA,NBA,0.3,29,0,147,8.5,0.433,0.233,6.8,13.1,10.1,8,1.3,0.6,10.8,10.9,116,110,0.1,0.2,0.105,-3.5,0.8,-2.7,0,3.5,7.5,2.5,4.2,1,3.2,0.7,1.7,2.2,4.7,7,2.2,1,0.2,1,5.2,8.7,0.467,0.588,0.308,0.533,0.429,0.529
404,Sviatoslav Mykhailiuk,2020-21,23,TOT,NBA,0.3,66,14,1324,10.4,0.621,0.099,1.9,11.4,6.6,12.9,1.9,0.8,14.3,20,98,114,-0.8,1.1,0.01,-1.9,-0.9,-2.8,-0.3,5.7,13.8,2.8,5.2,2.9,8.6,1,1.4,0.7,3.8,4.5,3,1.4,0.3,2.4,1.7,15.3,0.411,0.536,0.334,0.515,0.76,0.529
405,Daniel Oturu,2020-21,21,LAC,NBA,0.3,30,0,161,12.5,0.096,0.231,15.1,18.3,16.8,8.5,1.2,3.9,13.6,18.2,106,109,0,0.2,0.081,-4,-1.6,-5.6,-0.1,5.1,12,4.8,10.8,0.2,1.2,2.1,2.8,4.8,6.2,11.1,2.3,0.9,1.6,2.1,5.5,12.5,0.423,0.447,0.2,0.433,0.75,0.471
406,Jabari Parker,2020-21,25,TOT,NBA,0.3,13,0,165,14.7,0.2,0.236,6.7,21.8,14.2,9.9,0.3,2.8,14.1,18.5,113,114,0.2,0.1,0.089,-0.8,0.1,-0.6,0.1,6.6,12.2,6.2,9.7,0.4,2.4,2.2,2.9,2.2,7.1,9.3,2.4,0.2,1.1,2.2,2.9,15.9,0.545,0.636,0.182,0.564,0.769,0.593
407,Gary Payton,2020-21,28,GSW,NBA,0.3,10,0,40,29.2,0.308,0.308,5.4,23.6,14.6,4.1,7,2.2,6.3,16.8,152,95,0.2,0.1,0.331,0.5,9,9.5,0.1,8.8,11.4,7,7.9,1.8,3.5,2.6,3.5,1.8,7.9,9.7,0.9,5.3,0.9,0.9,7,22,0.769,0.889,0.5,0.846,0.75,0.847
408,Glenn Robinson,2020-21,27,SAC,NBA,0.3,23,2,369,9,0.444,0.232,3.3,10.4,6.8,7,0.5,0.7,9.2,14,112,122,0.3,0,0.033,-1.9,-2.8,-4.6,-0.2,4.1,9.7,2.5,5.4,1.6,4.3,2,2.2,1.1,3.3,4.4,2,0.4,0.3,1.1,2.2,11.8,0.424,0.473,0.364,0.505,0.913,0.554
409,JaKarr Sampson,2020-21,27,IND,NBA,0.3,29,4,316,10.9,0.133,0.257,9.3,17.1,13.2,1.8,0.3,3.6,10.7,19,104,114,0,0.3,0.044,-5.1,-2.3,-7.4,-0.4,6.3,12.7,5.9,11,0.3,1.7,2.1,3.3,3,5.6,8.6,0.4,0.2,1.6,1.7,5.8,15,0.496,0.541,0.2,0.509,0.655,0.533
410,D.J. Wilson,2020-21,24,TOT,NBA,0.3,35,1,433,11.5,0.518,0.149,4.8,23.2,13.7,7.9,1.2,3.3,10.9,19.7,100,112,-0.2,0.5,0.032,-2.8,-0.7,-3.5,-0.2,5.6,13.7,3.1,6.6,2.5,7.1,1.4,2,1.6,7.5,9.2,1.9,0.9,1.3,1.8,3.6,15,0.405,0.469,0.345,0.494,0.68,0.511
411,Jordan Bone,2020-21,23,ORL,NBA,0.2,14,0,196,8.9,0.593,0,2,11,6.4,13.6,0.5,0,5.3,12.6,113,119,0.1,0.1,0.045,-2.6,-1.6,-4.2,-0.1,4.3,10.1,2.4,4.1,1.9,6,0,0,0.7,3.7,4.5,3.4,0.4,0,0.6,2,10.4,0.426,0.591,0.313,0.519,,0.519
412,Vernon Carey,2020-21,19,CHO,NBA,0.2,19,4,115,11.7,0.194,0.306,5.6,20.1,12.7,2.6,0.4,4.3,10.9,17.2,108,113,0,0.1,0.066,-4.4,-1.8,-6.2,-0.1,5.7,11.5,5.4,9.2,0.3,2.2,2.9,3.5,1.9,6.7,8.6,0.6,0.3,1.6,1.6,4.1,14.6,0.5,0.586,0.143,0.514,0.818,0.563
413,Quinn Cook,2020-21,27,TOT,NBA,0.2,23,0,157,12.7,0.382,0.118,1.4,10.9,6.1,18.3,1.3,0.6,8.9,21.8,107,114,0.1,0.1,0.061,-1.2,-0.4,-1.5,0,6.8,15.9,4.2,9.8,2.6,6.1,1.6,1.9,0.5,3.5,4,4.2,0.9,0.2,1.6,2.3,17.8,0.426,0.429,0.423,0.507,0.875,0.531
414,Devon Dotson,2020-21,21,CHI,NBA,0.2,11,0,50,19.3,0.333,0,4.5,6.6,5.5,21.4,3.9,0,0,18.2,126,110,0.1,0.1,0.177,-0.1,2.2,2.1,0.1,8,15.3,7.3,10.2,0.7,5.1,0,0,1.5,2.2,3.6,5.1,2.9,0,0,2.2,16.7,0.524,0.714,0.143,0.548,,0.548
415,Brandon Goodwin,2020-21,25,ATL,NBA,0.2,47,5,620,9.2,0.462,0.193,1.4,10.6,6.1,21.6,1.3,0,13,19.5,101,116,-0.2,0.4,0.013,-2.7,-0.8,-3.5,-0.2,5,13.3,3.1,7.1,1.9,6.1,1.7,2.6,0.5,3.6,4.1,5.7,1,0,2.1,2.4,13.6,0.377,0.433,0.311,0.448,0.651,0.471
416,Shaquille Harrison,2020-21,27,TOT,NBA,0.2,34,0,333,6.8,0.205,0.282,2.4,13.7,8.1,9.5,2.5,1.5,11.1,12.9,94,110,-0.2,0.4,0.03,-5.9,1.3,-4.6,-0.2,2.9,8.7,2.6,6.9,0.3,1.8,2,2.4,0.8,4.6,5.3,2.8,1.9,0.6,1.2,3.7,8.1,0.333,0.371,0.188,0.353,0.818,0.416
417,Aaron Holiday,2020-21,24,IND,NBA,0.2,66,8,1176,9.2,0.417,0.19,1.4,6.8,4.1,14,1.8,0.9,12.3,19.5,99,115,-0.6,0.8,0.009,-3.2,-1,-4.1,-0.6,5.1,13.1,3.1,7.7,2,5.5,2,2.5,0.5,2.2,2.7,3.7,1.4,0.4,2,2.8,14.3,0.39,0.406,0.368,0.467,0.819,0.503
418,Justin Jackson,2020-21,25,TOT,NBA,0.2,34,3,577,10.4,0.529,0.167,2.9,11.1,6.9,13.9,1.2,0.3,11.9,19.8,102,116,-0.1,0.3,0.018,-2.1,-1.1,-3.2,-0.2,5.5,13.6,3.3,6.4,2.2,7.2,1.9,2.3,1,3.8,4.8,3.2,0.9,0.1,2,2,15.1,0.403,0.51,0.308,0.484,0.838,0.516
419,Mason Jones,2020-21,22,TOT,NBA,0.2,32,1,334,12.1,0.537,0.52,2.2,16,8.8,18.9,1,0.3,16.1,23,104,117,0,0.2,0.028,-1.2,-1.2,-2.4,0,5.5,13.1,3,6.1,2.6,7,4.3,6.8,0.7,5.1,5.9,4.5,0.7,0.1,3.1,2.6,17.9,0.423,0.491,0.364,0.52,0.625,0.556
420,Mfiondu Kabengele,2020-21,23,TOT,NBA,0.2,39,0,280,9.5,0.562,0.225,4.7,19.4,12,8.7,1.4,4.1,13.3,17.7,97,111,-0.2,0.3,0.026,-4.5,0,-4.5,-0.2,4.4,11.8,2.6,5.2,1.7,6.6,2.1,2.6,1.6,6.3,7.9,2.2,1.1,1.7,2,4.8,12.6,0.371,0.513,0.26,0.444,0.8,0.486
421,Anthony Lamb,2020-21,23,HOU,NBA,0.2,24,3,415,8.7,0.602,0.178,6.7,11.5,9,7.9,0.7,1.1,13,15,105,118,0.1,0.1,0.023,-3.5,-2.3,-5.8,-0.4,3.9,10.1,2,4,2,6.1,1.5,1.8,2.3,3.7,6,2,0.5,0.4,1.6,2.9,11.4,0.39,0.489,0.324,0.487,0.857,0.523
422,Nico Mannion,2020-21,19,GSW,NBA,0.2,30,1,364,9.3,0.526,0.246,1.8,11.5,6.7,25.6,2.1,0.2,19.7,18.5,99,111,-0.2,0.4,0.029,-3.4,-0.7,-4.1,-0.2,3.8,11,1.6,5.2,2.1,5.8,2.2,2.7,0.6,3.9,4.5,6.8,1.5,0.1,3,2.8,11.9,0.342,0.315,0.367,0.439,0.821,0.487
423,Dakota Mathias,2020-21,25,PHI,NBA,0.2,8,2,123,9.8,0.542,0.125,0.9,5.3,3.1,15.1,0.4,2.2,1.9,18.1,107,114,0,0.1,0.061,-1.9,-1.7,-3.6,0,5.6,14.1,3.2,6.5,2.4,7.6,0.6,1.8,0.3,1.8,2.1,3.8,0.3,0.9,0.3,2.1,14.1,0.396,0.5,0.308,0.479,0.333,0.474
424,Sean McDermott,2020-21,24,MEM,NBA,0.2,18,0,158,7.2,0.667,0.242,4,8.8,6.4,3.1,0.6,1.7,9.9,10.8,110,116,0.1,0.1,0.05,-3.3,-1.8,-5.1,-0.1,3,7.5,1.8,2.5,1.1,5,1.8,1.8,1.4,3,4.3,0.9,0.5,0.7,0.9,1.8,8.9,0.394,0.727,0.227,0.47,1,0.534
425,Ben McLemore,2020-21,27,TOT,NBA,0.2,53,5,905,8.5,0.767,0.145,1.7,10.5,6,6.4,1.2,0.9,9.8,20.4,99,115,-0.5,0.7,0.013,-2.7,-1.3,-4,-0.5,5.4,14.5,1.5,3.4,3.8,11.1,1.5,2.1,0.6,3.4,4,1.5,0.9,0.4,1.7,3.5,16.1,0.37,0.447,0.346,0.503,0.736,0.523
426,Cameron Oliver,2020-21,24,HOU,NBA,0.2,4,0,87,17.2,0.394,0.121,5.9,20.5,12.9,9.6,1.1,4.1,7.9,18.5,118,113,0.1,0.1,0.114,-1.6,-0.9,-2.4,0,7.8,13.5,6.1,8.2,1.6,5.3,0.4,1.6,2,6.5,8.6,2,0.8,1.6,1.2,4.5,17.5,0.576,0.75,0.308,0.636,0.25,0.619
427,Norvel Pelle,2020-21,27,TOT,NBA,0.2,13,0,84,11.6,0,0.4,8.1,16.5,12.4,3,0.6,10,14.5,10.8,113,107,0.1,0.1,0.112,-3.4,2.4,-1,0,3.5,6.6,3.5,6.6,0,0,1.8,2.6,2.6,5.7,8.4,0.9,0.4,4,1.3,6.2,8.8,0.533,0.533,,0.533,0.667,0.567
428,Reggie Perry,2020-21,20,BRK,NBA,0.2,26,0,211,11,0.269,0.167,14.9,22.9,19.1,9,1.4,2.5,15.2,20.4,101,111,-0.1,0.2,0.04,-5,-1.7,-6.7,-0.2,5.5,13.4,4.8,9.8,0.7,3.6,1.7,2.2,4.6,7.9,12.5,2.4,1,1,2.6,6.9,13.4,0.41,0.491,0.19,0.436,0.769,0.466
429,Chris Silva,2020-21,24,TOT,NBA,0.2,15,0,92,11.5,0.063,0.938,8.9,24.4,16.8,9.3,0.5,6.6,30.7,15.9,110,109,0.1,0.1,0.101,-6.2,0.8,-5.5,-0.1,4,6.5,3.6,6.1,0.4,0.4,4.4,6.1,2.8,8.1,10.9,2.4,0.4,2.4,4,9.7,12.9,0.625,0.6,1,0.656,0.733,0.708
430,Matt Thomas,2020-21,26,TOT,NBA,0.2,45,0,326,9.1,0.63,0.11,2.3,12.2,7.3,8.6,0.6,0,9.5,19.5,103,115,0,0.2,0.031,-2.9,-2.3,-5.2,-0.3,5.6,14.2,2.6,5.2,3,8.9,1.3,1.6,0.8,4.1,4.9,2.1,0.4,0,1.6,2,15.5,0.394,0.489,0.338,0.5,0.857,0.522
431,Killian Tillie,2020-21,22,MEM,NBA,0.2,18,1,182,8.5,0.579,0.193,3.5,10.6,7,5.6,1.3,4,3.1,14.8,104,112,0,0.2,0.055,-3.6,-0.5,-4.1,-0.1,3.7,11.2,1.8,4.7,2,6.5,1.8,2.2,1.2,3.5,4.7,1.6,1,1.6,0.4,3.9,11.2,0.333,0.375,0.303,0.421,0.818,0.461
432,Rayjon Tucker,2020-21,23,PHI,NBA,0.2,14,0,68,15.1,0.389,1.056,1.6,15.9,8.9,12.2,1.4,0,13.2,19.2,123,110,0.1,0.1,0.166,-3.5,-0.5,-4,0,4.8,9.6,3.7,5.9,1.1,3.7,7.4,10.1,0.5,5.3,5.9,3.2,1.1,0,2.1,4.3,18.1,0.5,0.636,0.286,0.556,0.737,0.645
433,Gabe Vincent,2020-21,24,MIA,NBA,0.2,50,7,655,7.6,0.639,0.099,1.8,7.9,4.9,15.1,1.6,0.3,12.3,19.1,98,114,-0.4,0.5,0.011,-4.6,-1.1,-5.7,-0.6,5,13.3,2.4,4.8,2.6,8.5,1.1,1.3,0.6,2.6,3.2,3.8,1.2,0.1,1.9,4.5,13.8,0.378,0.5,0.309,0.476,0.87,0.498
434,Al-Farouq Aminu,2020-21,30,TOT,NBA,0.1,23,14,434,8.9,0.374,0.222,5.1,21.9,13.3,10.1,2.1,1.9,20.5,13.6,91,111,-0.4,0.5,0.01,-5,1,-4,-0.2,3.2,8.3,2.5,5.2,0.7,3.1,1.5,1.8,1.8,7.4,9.2,2.6,1.6,0.8,2.4,2.4,8.6,0.384,0.484,0.216,0.424,0.818,0.469
435,Udoka Azubuike,2020-21,21,UTA,NBA,0.1,15,0,57,10.3,0,1.111,7.8,16,12.1,0,0.9,5.7,18.3,12.4,113,106,0,0.1,0.119,-5.6,0.7,-4.9,0,2.6,5.8,2.6,5.8,0,0,5.1,6.4,2.6,5.8,8.3,0,0.6,2.6,1.9,5.8,10.3,0.444,0.444,,0.444,0.8,0.597
436,Ignas Brazdeikis,2020-21,22,TOT,NBA,0.1,13,0,249,9.5,0.337,0.169,4.5,14.7,9.4,10.5,0.8,1.1,11.9,17.6,101,116,-0.1,0.1,0.016,-3.9,-1.8,-5.7,-0.2,5.1,12.2,3.5,8.1,1.6,4.1,1.5,2.1,1.6,5,6.6,2.5,0.6,0.4,1.8,3.2,13.3,0.422,0.436,0.393,0.488,0.714,0.51
437,Devin Cannady,2020-21,24,ORL,NBA,0.1,8,0,74,11.2,0.571,0.25,0,7.3,3.5,2.1,3.3,1.2,6,19.3,105,113,0,0.1,0.057,-4.4,1.3,-3.1,0,5.4,13.8,2.5,5.9,3,7.9,3,3.5,0,2.5,2.5,0.5,2.5,0.5,1,4.4,16.8,0.393,0.417,0.375,0.5,0.857,0.547
438,Gary Clark,2020-21,26,TOT,NBA,0.1,39,11,654,6,0.818,0.076,5.1,13.5,9.1,6.4,1,1,11.1,10.1,97,117,-0.3,0.4,0.008,-4,-0.9,-4.9,-0.5,2.2,7.4,0.5,1.3,1.7,6,0.4,0.6,1.8,4.6,6.4,1.7,0.7,0.4,0.9,2,6.6,0.303,0.375,0.287,0.42,0.8,0.436
439,Spencer Dinwiddie,2020-21,27,BRK,NBA,0.1,3,3,64,10.1,0.438,0.375,0,21.3,11.2,17.6,1.5,1.4,21.2,16.1,102,112,0,0.1,0.045,-3.4,2,-1.4,0,3.4,9,2.3,5.1,1.1,4,3.4,3.4,0,7.3,7.3,5.1,1.1,0.6,2.8,2.3,11.3,0.375,0.444,0.286,0.438,1,0.536
440,Jared Dudley,2020-21,35,LAL,NBA,0.1,12,0,81,4.4,0.667,0,5.6,23.5,14.6,7.6,0.6,1.1,18.2,5.9,94,108,0,0.1,0.053,-4.5,-0.2,-4.7,-0.1,0.9,4.1,0,1.4,0.9,2.7,0,0,1.8,7.7,9.5,2.3,0.5,0.5,0.9,3.2,2.7,0.222,0,0.333,0.333,,0.333
441,CJ Elleby,2020-21,20,POR,NBA,0.1,30,0,192,9.4,0.515,0.227,6,12,8.9,7.1,1.5,1.4,6.4,17.4,105,117,0,0.1,0.032,-4.1,-1.5,-5.6,-0.2,4.8,12.6,3.4,6.1,1.3,6.5,2.1,2.9,2.1,4,6.1,1.9,1.1,0.6,1,5.1,13,0.379,0.563,0.206,0.432,0.733,0.468
442,Henry Ellenson,2020-21,24,TOR,NBA,0.1,2,0,38,12.8,0.643,0.286,8.4,27,17.4,18.9,0,0,0,17.9,121,115,0.1,0,0.127,-3.1,1,-2.1,0,4.8,13.4,2.9,4.8,1.9,8.6,2.9,3.8,2.9,8.6,11.5,4.8,0,0,0,6.7,14.3,0.357,0.6,0.222,0.429,0.75,0.476
443,Josh Jackson,2020-21,23,DET,NBA,0.1,62,25,1560,12,0.364,0.308,4,14.2,9.1,15.1,1.7,2.6,15,26.5,97,112,-1.6,1.7,0.004,-2.4,-0.8,-3.3,-0.5,7,16.7,5.2,10.6,1.8,6.1,3.7,5.1,1.3,4.6,6,3.4,1.2,1.1,3.3,4.2,19.5,0.419,0.487,0.3,0.473,0.729,0.516
444,Justin James,2020-21,24,SAC,NBA,0.1,36,0,310,11.3,0.342,0.324,3.2,7.6,5.4,9.9,1.2,0.8,10.6,19.7,106,121,0.1,0,0.02,-2.2,-2.3,-4.5,-0.2,6,12.9,4.4,8.5,1.6,4.4,2.4,4.2,1,2.4,3.5,2.6,0.9,0.3,1.7,2.7,16.1,0.468,0.521,0.368,0.532,0.583,0.548
445,Mike James,2020-21,30,BRK,NBA,0.1,13,1,236,11.9,0.337,0.293,1.5,12.9,7.5,30.6,1.2,0.4,16.1,22.9,103,116,0,0.1,0.028,-2.3,-2.2,-4.5,-0.2,5.2,14.1,3.5,9.4,1.7,4.8,3.2,4.1,0.5,4.4,4.9,8.3,0.9,0.2,3.1,1.5,15.3,0.37,0.377,0.355,0.429,0.778,0.481
446,Patrick McCaw,2020-21,25,TOR,NBA,0.1,5,0,33,12,0,3,3.2,6.9,5,15.2,2.9,0,0,3,233,113,0.1,0,0.209,-2.5,3.5,1,0,1.1,1.1,1.1,1.1,0,0,3.3,3.3,1.1,2.2,3.3,4.4,2.2,0,0,6.6,5.5,1,1,,1,1,1.078
447,KZ Okpala,2020-21,21,MIA,NBA,0.1,37,9,447,5.2,0.521,0.156,5.5,11.8,8.7,5.8,1.1,2.6,12.8,11.9,94,113,-0.3,0.4,0.015,-6.5,-0.7,-7.2,-0.6,3,8,2,3.8,1,4.2,0.7,1.3,1.8,3.9,5.7,1.6,0.8,0.9,1.3,4.9,7.7,0.375,0.522,0.24,0.438,0.533,0.448
448,Grant Riller,2020-21,23,CHO,NBA,0.1,7,0,27,23.6,0.333,0,0,4.1,2,20.9,1.8,0,7.7,20.7,134,117,0.1,0,0.177,4.5,1,5.4,0.1,10.9,16.3,8.1,10.9,2.7,5.4,0,0,0,1.4,1.4,4.1,1.4,0,1.4,0,24.4,0.667,0.75,0.5,0.75,,0.75
449,Luka Šamanić,2020-21,21,SAS,NBA,0.1,33,4,308,9.8,0.41,0.276,5.4,18.3,11.7,6.9,1.3,2.2,14.5,19.5,97,112,-0.2,0.3,0.015,-4.3,-0.9,-5.1,-0.2,5.6,12.4,4.1,7.3,1.4,5.1,1.9,3.4,1.9,6.1,8,1.8,0.9,0.9,2.4,5.1,14.4,0.448,0.565,0.279,0.505,0.552,0.518
450,Jalen Smith,2020-21,20,PHO,NBA,0.1,27,1,156,8.4,0.34,0.14,5.2,21.4,13.4,3.4,0.3,2.9,11.7,17.1,96,112,-0.1,0.2,0.022,-4.8,-1.4,-6.2,-0.2,5.2,11.9,4.3,7.8,0.9,4,1.2,1.7,1.7,7.1,8.8,0.9,0.2,1.2,1.7,3.8,12.6,0.44,0.545,0.235,0.48,0.714,0.499
451,Brodric Thomas,2020-21,24,TOT,NBA,0.1,32,1,399,8,0.546,0.426,2.2,12.9,7.4,10.7,1.8,2.2,14.6,16.4,96,114,-0.3,0.3,0.006,-4.7,0.1,-4.6,-0.3,3.6,10,2.1,4.5,1.5,5.5,2.9,4.3,0.7,4.2,4.9,2.8,1.4,0.9,2,3.7,11.6,0.361,0.469,0.271,0.435,0.674,0.487
452,Anthony Tolliver,2020-21,35,PHI,NBA,0.1,11,0,99,4,0.824,0.353,3.4,7.6,5.6,2.5,1.5,1.8,13.3,9.8,91,111,-0.1,0.1,0.025,-5.7,-1.7,-7.4,-0.1,1.5,6.2,0,1.1,1.5,5.1,1.8,2.2,1.1,2.6,3.7,0.7,1.1,0.7,1.1,2.6,6.2,0.235,0,0.286,0.353,0.833,0.433
453,Axel Toupane,2020-21,28,MIL,NBA,0.1,8,1,61,9,0.182,0.636,0,10,5.2,7.6,1.5,4.4,0,9.7,119,111,0.1,0.1,0.097,-4.4,1.3,-3.1,0,2.3,6.4,1.7,5.2,0.6,1.2,2.9,4,0,3.5,3.5,2.3,1.2,1.7,0,3.5,8.1,0.364,0.333,0.5,0.409,0.714,0.497
454,T.J. Warren,2020-21,27,IND,NBA,0.1,4,4,117,11.6,0.137,0.196,1.9,11.1,6.5,6.5,0.8,0,6.7,21.6,107,117,0.1,0.1,0.045,-3,-2.5,-5.5,-0.1,8.2,15.5,8.2,13.3,0,2.1,2.4,3,0.6,3.6,4.2,1.5,0.6,0,1.2,4.8,18.8,0.529,0.614,0,0.529,0.8,0.56
455,Quinndary Weatherspoon,2020-21,24,SAS,NBA,0.1,20,0,121,9.6,0.171,0.457,2.6,7.2,4.8,9.1,3.2,1.4,19.2,18.7,97,111,-0.1,0.1,0.023,-5.9,0.8,-5.1,-0.1,4.8,10.5,4.5,8.7,0.3,1.8,3.9,4.8,0.9,2.4,3.3,2.4,2.4,0.6,3,5.4,13.8,0.457,0.517,0.167,0.471,0.813,0.547
456,Cassius Winston,2020-21,22,WAS,NBA,0.1,22,0,98,10.8,0.515,0.182,0,9.7,4.9,16.3,0.9,0.9,12.3,17.2,111,116,0.1,0.1,0.066,-1.7,-1.3,-3,0,4.9,11.6,2.1,5.6,2.8,6,1.8,2.1,0,3.2,3.2,4.2,0.7,0.4,1.8,2.8,14.5,0.424,0.375,0.471,0.545,0.833,0.575
457,Ty-Shon Alexander,2020-21,22,PHO,NBA,0,15,0,47,4.2,0.75,0.167,4.9,19,12.1,15.4,0,1.9,18.9,15,84,114,-0.1,0,-0.048,-5.3,-1.6,-6.8,-0.1,2.4,9.5,0.8,2.4,1.6,7.1,0.8,1.6,1.6,6.3,7.9,4.7,0,0.8,2.4,1.6,7.1,0.25,0.333,0.222,0.333,0.5,0.349
458,Cole Anthony,2020-21,20,ORL,NBA,0,47,34,1273,12.1,0.312,0.237,3,15.4,9,24.2,1.1,1.3,14.8,24.3,98,116,-0.9,0.9,-0.001,-2,-1.3,-3.3,-0.4,6.3,15.8,4.6,10.9,1.7,4.9,3.1,3.8,1.1,5.2,6.3,5.5,0.9,0.5,3,2.8,17.3,0.397,0.424,0.337,0.449,0.832,0.496
459,Jordan Bell,2020-21,26,TOT,NBA,0,6,1,82,8,0.091,0.091,9.1,21.9,15.5,10.6,1.7,5.2,14.9,13.6,83,108,-0.1,0.1,-0.008,-5.2,-0.4,-5.6,-0.1,3,9.3,3,8.5,0,0.8,0.4,0.8,3,7.2,10.2,3,1.3,2.1,1.7,3,6.3,0.318,0.35,0,0.318,0.5,0.328
460,Tyler Bey,2020-21,22,DAL,NBA,0,18,0,71,5.9,0.182,0.227,12.5,16.9,14.7,5.6,0,1.3,11,16.9,91,116,-0.1,0,-0.033,-5.5,-4.1,-9.6,-0.1,3.6,11.5,3.1,9.4,0.5,2.1,1.6,2.6,4.2,5.7,9.9,1.6,0,0.5,1.6,3.1,9.4,0.318,0.333,0.25,0.341,0.6,0.372
461,Bol Bol,2020-21,21,DEN,NBA,0,32,2,160,9.4,0.414,0.259,0,16.9,8.5,6,0.9,6.1,16.8,21.2,92,111,-0.2,0.2,-0.004,-3.6,-0.7,-4.4,-0.1,5.8,13.4,3.7,7.9,2.1,5.6,2.3,3.5,0,5.6,5.6,1.6,0.7,2.3,3,3.2,16,0.431,0.471,0.375,0.509,0.667,0.534
462,Marques Bolden,2020-21,22,CLE,NBA,0,6,0,29,13.3,0,2.667,11.3,11.9,11.6,0,3.4,6.1,23.5,12.8,101,108,0,0,0.063,-3.4,0.6,-2.8,0,1.3,3.8,1.3,3.8,0,0,6.4,10.2,3.8,3.8,7.7,0,2.6,2.6,2.6,0,8.9,0.333,0.333,,0.333,0.625,0.537
463,Isaac Bonga,2020-21,21,WAS,NBA,0,40,8,432,4,0.58,0.099,4.4,11.7,8.1,6.5,1.2,1.7,20.7,10.2,90,114,-0.4,0.4,-0.001,-5.6,-0.8,-6.4,-0.5,2.4,6.5,1.4,2.7,1,3.8,0.4,0.6,1.4,3.8,5.3,1.8,0.9,0.7,1.8,5,6.2,0.37,0.5,0.277,0.451,0.625,0.461
464,Brian Bowen,2020-21,22,IND,NBA,0,6,0,15,1,0.25,0.25,0,21.6,10.8,0,0,0,0,12.6,74,116,0,0,-0.063,-8.2,-3.3,-11.5,0,2.4,9.5,2.4,7.1,0,2.4,2.4,2.4,0,7.1,7.1,0,0,0,0,2.4,7.1,0.25,0.333,0,0.25,1,0.338
465,Amida Brimah,2020-21,26,IND,NBA,0,5,0,29,16.6,0,0.375,7.5,22.3,15,4.8,0,14,30,19.6,101,106,0,0.1,0.073,-5.5,1.5,-4,0,6.1,9.8,6.1,9.8,0,0,3.7,3.7,2.4,7.3,9.8,1.2,0,6.1,4.9,4.9,15.9,0.625,0.625,,0.625,1,0.697
466,Elijah Bryant,2020-21,25,MIL,NBA,0,1,0,32,10.6,0.385,0.231,6.8,12.7,9.9,12.6,0,2.8,21.8,24,100,115,0,0,0.008,-4.1,-3.6,-7.7,0,6.6,14.3,5.5,8.8,1.1,5.5,3.3,3.3,2.2,4.4,6.6,3.3,0,1.1,4.4,4.4,17.6,0.462,0.625,0.2,0.5,1,0.559
