"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Shabazz Napier","ORL",55,600,97,231,60,37,26,8,26,10,27
"Anthony Brown","LAL",29,599,19,45,12,7,5,2,5,3,4
"Josh McRoberts","MIA",42,595,81,179,64,17,38,8,18,3,14
"Metta World Peace","LAL",35,590,27,60,21,6,9,4,8,2,4
"Tiago Splitter","ATL",36,580,30,67,23,7,14,3,6,2,5
"Ian Clark","GSW",66,578,64,155,37,27,15,7,15,2,25
"Tyus Jones","MIN",37,573,108,243,81,27,56,10,15,15,12
"Carl Landry","PHI",36,569,32,81,15,17,8,1,6,4,13
"Mike Muscala","ATL",60,565,34,79,23,11,15,5,3,5,6
"Kevin Garnett","MIN",38,556,62,135,51,11,19,9,23,1,10
"Jusuf Nurkic","DEN",32,547,40,92,28,12,20,3,5,4,8
"Donatas Motiejunas","HOU",37,547,41,96,27,14,23,1,3,4,10
"Kendrick Perkins","NOP",37,542,31,70,23,8,12,4,7,4,4
"Kevin Seraphin","NYK",48,526,47,100,41,6,18,9,14,2,4
"Glenn Robinson III","IND",45,508,26,57,21,5,12,2,7,3,2
"Boban Marjanovic","SAS",54,508,21,47,16,5,9,1,6,2,3
"Sonny Weems","PHI",43,498,49,114,33,16,24,5,4,2,14
"Tarik Black","LAL",39,496,16,39,9,7,4,1,4,0,7
"Anderson Varejao","GSW",53,496,35,86,19,16,11,3,5,3,13
"Adreian Payne","MIN",52,486,29,65,22,7,10,4,8,0,7
"John Jenkins","PHX",43,480,35,83,22,13,10,7,5,4,9
"Troy Daniels","CHA",43,476,21,48,15,6,6,4,5,3,3
"Ray McCallum","MEM",41,474,60,132,48,12,10,10,28,5,7
"Jason Thompson","TOR",47,471,29,66,21,8,11,5,5,3,5
"Brian Roberts","POR",51,470,54,129,33,21,13,9,11,8,13
"Ryan Kelly","LAL",36,470,20,47,13,7,9,2,2,1,6
"James Jones","CLE",48,463,14,34,8,6,5,1,2,3,3
"Andre Miller","SAS",39,461,87,198,63,24,38,3,22,3,21
"Greivis Vasquez","MIL",23,460,91,206,67,24,43,13,11,7,17
"Ryan Hollins","MEM",37,460,10,22,8,2,6,0,2,1,1
"JJ Hickson","WAS",35,436,23,54,15,8,7,2,6,3,5
"Rasual Butler","SAS",46,431,24,58,14,10,9,1,4,5,5
"Reggie Bullock","DET",37,429,27,64,17,10,9,4,4,4,6
"Willie Reed","BKN",39,426,10,23,7,3,5,2,0,1,2
"Jared Cunningham","MIL",44,410,20,46,14,6,7,3,4,1,5
