Player,Age,Tm,Lg,Season,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jahlil Okafor,24,NOP,NBA,2019-20,30,9,467,18.3,0.019,0.383,10.9,18,14.4,12,0.7,3.9,16.7,19.9,117,112,0.9,0.4,1.3,0.133,-0.5,0.3,-0.2,0.2,101,162,100,159,1,3,40,62,48,79,127,37,7,22,38,67,243
Elie Okobo,22,PHO,NBA,2019-20,55,3,719,10.6,0.392,0.392,2.4,11.6,6.9,21.2,1.6,0.5,15.2,14.8,109,113,0.5,0.5,1,0.067,-1.9,0,-1.9,0,72,181,47,110,25,71,50,71,16,74,90,115,24,4,38,54,219
Josh Okogie,21,MIN,NBA,2019-20,62,28,1547,11.5,0.387,0.48,5.7,12.8,9.1,8.9,2,1.4,15.3,15.1,108,113,0.9,1.2,2.2,0.068,-2.4,0,-2.4,-0.2,170,398,129,244,41,154,152,191,87,181,268,99,68,26,87,139,533
KZ Okpala,20,MIA,NBA,2019-20,5,0,26,13.7,0.2,0.4,4.5,16.6,10.8,5.5,3.8,3.8,14.5,11.7,110,103,0,0,0.1,0.118,-1.3,4,2.7,0,3,5,3,4,0,1,1,2,1,4,5,1,2,1,1,2,7
Victor Oladipo,27,IND,NBA,2019-20,19,16,528,11.3,0.423,0.24,1.9,13.6,7.8,15.4,1.6,0.7,14.7,26.5,94,110,-0.6,0.6,0,0.002,-2.2,-1.1,-3.3,-0.2,97,246,64,142,33,104,48,59,9,66,75,56,17,4,47,36,275
Kelly Olynyk,28,MIA,NBA,2019-20,67,9,1300,14.6,0.588,0.251,3.9,21.6,13.1,13.3,1.7,1.8,13.8,17.4,116,108,1.9,1.8,3.7,0.135,0,1,1,1,184,398,89,164,95,234,86,100,44,261,305,116,45,23,71,173,549
Miye Oni,22,UTA,NBA,2019-20,10,1,109,9.7,0.594,0.156,5.2,11.7,8.6,5.1,1.8,1.5,10.5,15.3,104,110,0,0.1,0.1,0.063,-3.2,-1,-4.3,-0.1,12,32,5,13,7,19,4,5,5,12,17,4,4,2,4,9,35
Cedi Osman,24,CLE,NBA,2019-20,65,65,1910,10.7,0.527,0.154,2.2,11.3,6.7,11.6,1.4,0.7,12.3,16.6,107,117,1,0.6,1.6,0.04,-1.7,-0.9,-2.6,-0.3,266,609,143,288,123,321,63,94,39,192,231,154,54,16,91,160,718
Kelly Oubre,24,PHO,NBA,2019-20,56,55,1933,14.9,0.372,0.298,3.8,17.1,10.4,6.6,1.7,1.8,8.2,22.4,109,110,1.7,2.1,3.8,0.093,-0.3,-0.3,-0.5,0.7,373,826,265,519,108,307,192,246,67,294,361,85,71,40,83,192,1046
Tariq Owens,24,PHO,NBA,2019-20,3,0,15,8.4,0.4,0.4,14.6,7.5,11.1,0,3.2,0,0,16.7,96,111,0,0,0,0.021,-3.1,-2.7,-5.8,0,1,5,1,3,0,2,2,2,2,1,3,0,1,0,0,1,4
