Player,Age,Tm,Lg,Season,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Brook Lopez,32,MIL,NBA,2020-21,70,70,1902,15.4,0.439,0.222,6,13,9.6,3.5,1,4.8,8.3,16.9,121,111,3.1,2.2,5.3,0.133,0.1,-0.1,0,1,322,640,227,359,95,281,120,142,104,243,347,50,40,103,64,149,859
Robin Lopez,32,WAS,NBA,2020-21,71,9,1354,16.7,0.042,0.322,11.1,10.2,10.6,5.9,0.5,2.7,13.4,17.1,124,116,2.8,0.9,3.7,0.131,0.3,-1.4,-1.1,0.3,269,425,264,407,5,18,99,137,141,131,272,55,15,44,75,109,642
Marcos Louzada Silva,21,NOP,NBA,2020-21,3,0,56,-0.9,0.615,0,1.9,3.9,2.9,6.5,1.7,0,18.8,12,66,117,-0.1,0,-0.1,-0.099,-8.2,-1.6,-9.8,-0.1,3,13,1,5,2,8,0,0,1,2,3,3,2,0,3,5,8
Kevin Love,32,CLE,NBA,2020-21,25,25,622,15.1,0.619,0.202,3,31.2,16.7,16,1.3,0.3,12.2,21.9,108,113,0.3,0.6,0.9,0.073,0.8,-0.8,0,0.3,103,252,46,96,57,156,42,51,17,169,186,63,16,2,38,26,305
Kyle Lowry,34,TOR,NBA,2020-21,46,46,1601,16.5,0.555,0.268,2.3,15.1,8.5,31.8,1.4,0.9,15.9,21.4,117,115,2.9,1.3,4.1,0.124,1.9,-0.7,1.2,1.3,260,596,129,265,131,331,140,160,35,212,247,338,45,14,126,143,791
Timothé Luwawu-Cabarrot,25,BRK,NBA,2020-21,58,7,1050,7.8,0.671,0.121,3.1,10.1,6.8,8.6,1.5,0.5,10.3,17.4,100,116,-0.3,0.7,0.3,0.015,-3.2,-1.7,-4.9,-0.8,130,356,55,117,75,239,35,43,28,101,129,69,33,6,43,99,370
Trey Lyles,25,SAS,NBA,2020-21,23,9,358,11.4,0.444,0.256,2.6,23.3,12.8,5.3,0.8,0.2,5.7,12.9,116,114,0.3,0.3,0.6,0.085,-1.2,-0.7,-1.9,0,43,90,29,50,14,40,15,23,9,77,86,14,6,1,6,13,115
Will Magnay,22,NOP,NBA,2020-21,1,0,3,-35.1,1,0,0,0,0,0,0,0,50,28,0,122,0,0,0,-0.787,-30.7,-8.9,-39.6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Thon Maker,23,CLE,NBA,2020-21,8,0,76,18.6,0.111,0.611,11.5,15.1,13.3,7.9,1.3,4.7,11.6,14.8,133,113,0.2,0.1,0.3,0.174,0.3,1.2,1.5,0.1,10,18,10,16,0,2,10,11,8,10,18,4,2,4,3,7,30
Théo Maledon,19,OKC,NBA,2020-21,65,49,1778,8.2,0.51,0.22,1.4,11,6.2,18.8,1.5,0.5,17.3,19.4,94,116,-1.9,1.1,-0.8,-0.021,-4.1,-1.1,-5.2,-1.4,226,614,121,301,105,313,101,135,25,186,211,227,56,11,141,126,658
Karim Mané,20,ORL,NBA,2020-21,10,0,88,1.3,0.154,0.385,1.1,15.9,8.3,6,0,2.1,16.5,8.9,77,117,-0.1,0,-0.1,-0.045,-9,-0.8,-9.9,-0.2,3,13,2,11,1,2,4,5,1,13,14,4,0,2,3,10,11
Terance Mann,24,LAC,NBA,2020-21,67,10,1263,13.8,0.26,0.269,5.1,16.1,10.8,11.3,1.1,0.9,9.3,15.1,125,112,2.4,1.3,3.7,0.141,-0.5,0.4,-0.1,0.6,178,350,140,259,38,91,78,94,56,186,242,104,29,13,40,126,472
Nico Mannion,19,GSW,NBA,2020-21,30,1,364,9.3,0.526,0.246,1.8,11.5,6.7,25.6,2.1,0.2,19.7,18.5,99,111,-0.2,0.4,0.2,0.029,-3.4,-0.7,-4.1,-0.2,39,114,17,54,22,60,23,28,6,40,46,70,16,1,31,29,123
Boban Marjanović,32,DAL,NBA,2020-21,33,3,271,22.6,0.066,0.311,19.3,32.7,26,5.9,0.4,2.1,8,24.6,121,111,0.7,0.3,1,0.183,1.6,-2.7,-1.1,0.1,62,122,61,114,1,8,31,38,47,81,128,10,2,6,12,29,156
Lauri Markkanen,23,CHI,NBA,2020-21,51,26,1317,15.2,0.568,0.177,3,19.4,11.3,5,1,1,8.5,20.2,115,113,1.7,1.3,3,0.109,1.3,-1.3,0,0.7,250,521,131,225,119,296,76,92,35,233,268,45,26,15,52,75,695
Naji Marshall,23,NOP,NBA,2020-21,32,10,700,11.4,0.397,0.359,2.3,20.6,11.5,16.5,1.8,1.4,13.6,16.8,106,113,0.2,0.7,0.9,0.061,-2.1,0.8,-1.2,0.1,82,209,53,126,29,83,53,75,15,133,148,88,26,10,38,58,246
Caleb Martin,25,CHO,NBA,2020-21,53,3,818,9.5,0.488,0.25,4,14.8,9.3,11.5,2.2,1.5,10.4,16.7,99,112,-0.4,0.9,0.5,0.03,-3.4,-0.3,-3.7,-0.4,96,256,65,131,31,125,41,64,31,110,141,67,37,12,33,62,264
Cody Martin,25,CHO,NBA,2020-21,52,10,849,10.6,0.309,0.229,6.5,14.1,10.3,13.9,2.1,1.4,16.2,12.5,107,113,0.2,0.9,1.1,0.061,-2.6,0.3,-2.2,-0.1,83,188,67,130,16,58,25,43,52,109,161,86,37,12,40,52,207
Jeremiah Martin,24,CLE,NBA,2020-21,9,0,75,1.4,0.364,0.152,2.9,7.6,5.2,7.9,3.3,2.4,14.6,23.9,63,112,-0.4,0.1,-0.3,-0.207,-8.5,-1.2,-9.7,-0.1,9,33,6,21,3,12,1,5,2,5,7,4,5,2,6,1,22
Kelan Martin,25,IND,NBA,2020-21,35,0,322,13.9,0.435,0.072,6.1,20.1,13.1,7.5,1.5,2.5,10.1,20.9,105,111,0.1,0.4,0.4,0.066,-1.2,-1,-2.3,0,62,138,38,78,24,60,9,10,18,60,78,17,10,10,16,35,157
Kenyon Martin,20,HOU,NBA,2020-21,45,8,1068,14.6,0.302,0.264,7,17.6,12.1,6.8,1.3,3.4,9.7,15.6,117,114,1.3,0.9,2.2,0.099,-1.5,-0.4,-1.8,0,162,318,127,222,35,96,60,84,73,169,242,48,30,41,38,89,419
Frank Mason,26,ORL,NBA,2020-21,4,1,79,7.5,0.208,0.292,3.8,12.2,7.9,22.3,0,0,15.6,17.5,98,120,0,0,0,-0.018,-6.1,-3.1,-9.2,-0.1,9,24,7,19,2,5,5,7,3,9,12,12,0,0,5,7,25
Garrison Mathews,24,WAS,NBA,2020-21,64,24,1038,9.7,0.835,0.401,1.6,7.2,4.4,3.1,1.3,0.6,3.5,11.5,130,116,1.7,0.6,2.3,0.108,-1.7,-0.6,-2.3,-0.1,97,237,21,39,76,198,84,95,16,71,87,26,29,7,10,106,354
Dakota Mathias,25,PHI,NBA,2020-21,8,2,123,9.8,0.542,0.125,0.9,5.3,3.1,15.1,0.4,2.2,1.9,18.1,107,114,0,0.1,0.2,0.061,-1.9,-1.7,-3.6,0,19,48,11,22,8,26,2,6,1,6,7,13,1,3,1,7,48
Wesley Matthews,34,LAL,NBA,2020-21,58,10,1130,7.2,0.782,0.163,2,7.2,4.6,6.3,1.6,1.3,8.8,11.4,106,110,0.2,1.5,1.7,0.073,-3.1,0.6,-2.4,-0.1,89,252,23,55,66,197,35,41,20,73,93,54,38,17,26,80,279
Tyrese Maxey,20,PHI,NBA,2020-21,61,8,935,14.5,0.24,0.163,1.3,10.8,6.1,19.9,1.3,1.2,8.2,23,110,111,0.8,1.1,1.9,0.099,-1.3,-0.6,-1.9,0,198,429,167,326,31,103,61,70,11,93,104,120,26,13,41,79,488
Skylar Mays,23,ATL,NBA,2020-21,33,0,269,16.8,0.408,0.255,4.2,10,7.1,16.4,2.6,0.7,7.6,19.1,121,113,0.5,0.3,0.8,0.14,1,0.6,1.6,0.2,44,98,30,58,14,40,22,25,10,25,35,30,14,2,9,15,124
Patrick McCaw,25,TOR,NBA,2020-21,5,0,33,12,0,3,3.2,6.9,5,15.2,2.9,0,0,3,233,113,0.1,0,0.1,0.209,-2.5,3.5,1,0,1,1,1,1,0,0,3,3,1,2,3,4,2,0,0,6,5
CJ McCollum,29,POR,NBA,2020-21,47,47,1600,20.8,0.475,0.15,2,10.6,6.2,23,1.3,1.2,6.5,27.1,120,118,4.1,0.6,4.7,0.141,4.9,-1.5,3.3,2.1,405,884,236,464,169,420,108,133,30,155,185,223,44,21,65,87,1087
T.J. McConnell,28,IND,NBA,2020-21,69,3,1796,16.9,0.098,0.098,3.3,12.1,7.7,34.3,3.4,1,20.9,15.3,117,110,2.6,2.2,4.8,0.128,-0.1,1.6,1.5,1.6,274,490,259,442,15,48,33,48,55,201,256,456,128,23,135,113,596
Jaden McDaniels,20,MIN,NBA,2020-21,63,27,1511,8.9,0.54,0.123,3.6,13.4,8.3,6.4,1.1,3.4,10.8,12,108,116,0.5,0.9,1.4,0.046,-3.4,-0.3,-3.8,-0.7,164,367,92,169,72,198,27,45,52,180,232,71,35,60,47,172,427
Jalen McDaniels,23,CHO,NBA,2020-21,47,18,904,11.4,0.37,0.225,5.3,15.1,10.1,8.6,1.5,2.1,12.6,17,107,113,0.3,0.9,1.2,0.062,-2.7,-0.5,-3.3,-0.3,133,284,98,179,35,105,45,64,45,124,169,53,28,19,45,95,346
Doug McDermott,29,IND,NBA,2020-21,66,29,1619,15.6,0.43,0.147,4,10.7,7.4,7.8,0.6,0.3,7,20,121,118,3.1,0.7,3.8,0.112,1.5,-2.1,-0.5,0.6,354,665,243,379,111,286,80,98,60,161,221,85,20,6,53,117,899
Sean McDermott,24,MEM,NBA,2020-21,18,0,158,7.2,0.667,0.242,4,8.8,6.4,3.1,0.6,1.7,9.9,10.8,110,116,0.1,0.1,0.2,0.05,-3.3,-1.8,-5.1,-0.1,13,33,8,11,5,22,8,8,6,13,19,4,2,3,4,8,39
JaVale McGee,33,TOT,NBA,2020-21,46,2,678,17,0.085,0.238,12.6,27.3,19.8,9.7,1.4,7.3,16.2,23.9,102,107,-0.1,1.1,1,0.068,-3.2,1,-2.1,0,144,282,139,258,5,24,44,67,77,162,239,39,19,54,60,121,337
Rodney McGruder,29,DET,NBA,2020-21,16,2,194,16.1,0.343,0.114,4.5,8.1,6.3,13.6,2,0.4,8.7,18.1,120,114,0.3,0.2,0.5,0.121,0.9,-0.2,0.7,0.1,37,70,26,46,11,24,6,8,8,14,22,16,8,1,7,12,91
Alfonzo McKinnie,28,LAL,NBA,2020-21,39,0,258,15.5,0.419,0.194,9.6,13.9,11.8,3.6,1.3,0,4.7,17.8,123,110,0.5,0.3,0.8,0.156,0.4,-1.2,-0.8,0.1,48,93,32,54,16,39,10,18,22,32,54,6,7,0,5,26,122
Jordan McLaughlin,24,MIN,NBA,2020-21,51,2,938,12,0.38,0.124,2.3,10.4,6.2,28,2.6,0.6,16.7,13.7,110,115,0.6,0.6,1.2,0.062,-2.1,0,-2.2,0,100,242,67,150,33,92,23,30,21,87,108,193,51,6,51,44,256
Ben McLemore,27,TOT,NBA,2020-21,53,5,905,8.5,0.767,0.145,1.7,10.5,6,6.4,1.2,0.9,9.8,20.4,99,115,-0.5,0.7,0.2,0.013,-2.7,-1.3,-4,-0.5,135,365,38,85,97,280,39,53,15,85,100,39,23,9,42,88,406
Nicolò Melli,30,TOT,NBA,2020-21,45,4,566,7.9,0.603,0.177,5.6,17.9,11.8,9.8,1.2,0.5,7.3,12.5,106,114,0.1,0.5,0.6,0.048,-3.5,-0.1,-3.6,-0.2,46,141,23,56,23,85,19,25,29,93,122,44,14,3,12,58,134
De'Anthony Melton,22,MEM,NBA,2020-21,52,1,1045,15.2,0.537,0.13,3,13.4,8.2,17.5,2.7,2.7,13.7,19.5,110,109,0.7,1.5,2.2,0.103,0.6,1.4,2,1,172,393,85,182,87,211,41,51,30,131,161,132,60,31,66,85,472
Sam Merrill,24,MIL,NBA,2020-21,30,2,233,11.9,0.653,0.056,2.8,10.4,6.8,11.4,1.6,0.4,11.9,15,118,114,0.3,0.2,0.5,0.102,-0.6,-0.8,-1.4,0,32,72,11,25,21,47,4,4,6,24,30,21,8,1,10,17,89
Chimezie Metu,23,SAC,NBA,2020-21,36,6,488,14.5,0.207,0.24,7,18.7,12.7,8.2,1.4,3.1,12.8,20,109,116,0.3,0.3,0.6,0.061,-2.3,-1.7,-3.9,-0.2,91,179,78,142,13,37,31,43,31,81,112,28,14,18,29,59,226
Khris Middleton,29,MIL,NBA,2020-21,68,68,2269,18.2,0.34,0.22,2.6,15.7,9.4,23.2,1.5,0.4,13.1,25,116,113,4.1,2.2,6.4,0.135,2,-0.7,1.3,1.9,511,1074,360,709,151,365,212,236,54,352,406,370,74,9,178,160,1385
Darius Miller,30,OKC,NBA,2020-21,18,0,197,15.9,0.875,0.25,1,11.8,6.3,15.4,3.1,2.3,13.1,13.2,130,111,0.4,0.2,0.6,0.156,1.2,2.7,3.9,0.3,22,48,5,6,17,42,12,12,2,22,24,21,13,5,8,13,73
Patty Mills,32,SAS,NBA,2020-21,68,1,1685,11.8,0.702,0.128,1.1,6.3,3.7,13.5,1.2,0.2,9.3,18.4,111,117,1.3,0.8,2.2,0.062,0.1,-1.8,-1.6,0.2,252,611,91,182,161,429,71,78,18,98,116,162,42,3,66,81,736
Paul Millsap,35,DEN,NBA,2020-21,56,36,1162,16.4,0.357,0.244,7.4,18.1,12.8,11.6,2.2,3,10.3,18.6,117,110,1.7,1.6,3.2,0.133,0.4,0.1,0.5,0.7,191,401,142,258,49,143,71,98,76,186,262,98,51,36,51,111,502
Shake Milton,24,PHI,NBA,2020-21,63,4,1461,14.6,0.304,0.264,2.5,8.5,5.6,20.3,1.3,1.1,12.2,24.9,109,112,1.1,1.6,2.8,0.091,-0.9,-1.2,-2.1,0,300,667,229,464,71,203,146,176,33,115,148,193,39,18,103,130,817
Donovan Mitchell,24,UTA,NBA,2020-21,53,53,1771,21.3,0.423,0.29,3.1,10.6,7,26.7,1.4,0.7,10.7,33.5,115,110,3.9,2.2,6.2,0.167,4.1,-0.6,3.5,2.5,478,1091,300,630,178,461,267,316,50,185,235,277,52,15,147,117,1401
Adam Mokoka,22,CHI,NBA,2020-21,14,0,56,2.2,0.526,0.053,2,7.8,4.9,11.9,1.7,1.6,20.5,18.9,73,113,-0.2,0.1,-0.1,-0.112,-7.7,-2.2,-9.9,-0.1,7,19,6,9,1,10,0,1,1,4,5,5,2,1,5,5,15
Malik Monk,22,CHO,NBA,2020-21,42,0,878,13.6,0.531,0.18,1.7,10.9,6.2,15.7,1.1,0.5,11.3,23.8,108,116,0.5,0.5,1,0.054,0.3,-2.3,-1.9,0,173,399,88,187,85,212,59,72,14,87,101,87,19,4,55,47,490
E'Twaun Moore,31,PHO,NBA,2020-21,27,1,389,10.4,0.289,0.116,4.2,8.9,6.6,13.7,1.9,1.2,15.3,17.2,103,112,0,0.4,0.4,0.049,-3.7,0.5,-3.1,-0.1,55,121,44,86,11,35,12,14,14,31,45,40,15,5,23,32,133
Ja Morant,21,MEM,NBA,2020-21,63,63,2053,16.7,0.252,0.389,3,10.1,6.5,33.5,1.3,0.6,15.3,27.2,108,115,1.6,1.6,3.2,0.074,1.3,-2,-0.8,0.6,430,957,357,716,73,241,271,372,59,193,252,465,57,13,203,87,1204
Juwan Morgan,23,UTA,NBA,2020-21,29,0,147,8.5,0.433,0.233,6.8,13.1,10.1,8,1.3,0.6,10.8,10.9,116,110,0.1,0.2,0.3,0.105,-3.5,0.8,-2.7,0,14,30,10,17,4,13,3,7,9,19,28,9,4,1,4,21,35
Marcus Morris,31,LAC,NBA,2020-21,57,29,1502,14.5,0.507,0.152,2.7,14.5,8.8,5.6,1.1,0.9,8.4,20.1,117,113,2.1,1.5,3.6,0.115,0.9,-1,-0.2,0.7,276,584,136,288,140,296,73,89,35,199,234,58,34,15,57,117,765
Markieff Morris,31,LAL,NBA,2020-21,61,27,1200,9.3,0.553,0.132,4.5,20.3,12.5,8.6,0.9,1.4,11.9,16.4,101,108,-0.2,1.8,1.6,0.062,-2.8,-0.2,-3,-0.3,153,378,88,169,65,209,36,50,48,218,266,73,22,19,54,105,407
Monte Morris,25,DEN,NBA,2020-21,47,13,1196,14,0.346,0.189,1,8,4.6,17.1,1.4,1.1,7.5,16.5,121,115,2,0.8,2.9,0.115,0.2,-1.1,-0.8,0.4,186,387,135,253,51,134,58,73,11,85,96,150,34,13,34,48,481
Mychal Mulder,26,GSW,NBA,2020-21,60,6,766,10.8,0.808,0.083,1.1,7.1,4.2,4.8,0.7,1.4,5.5,16.2,113,115,0.6,0.6,1.2,0.075,-0.9,-1.4,-2.3,0,119,265,34,51,85,214,14,22,8,52,60,26,12,12,16,56,337
Dejounte Murray,24,SAS,NBA,2020-21,67,67,2139,16.5,0.204,0.138,2.8,21.1,11.8,25.9,2.3,0.3,10.2,23.4,106,111,0.7,2.6,3.3,0.074,-0.2,0.8,0.6,1.4,441,974,378,775,63,199,106,134,58,415,473,363,101,7,117,135,1051
Jamal Murray,23,DEN,NBA,2020-21,48,48,1704,18.3,0.399,0.193,2.5,10.4,6.5,20.3,1.9,0.7,11.2,24.8,116,114,3.1,1.5,4.6,0.129,2.7,-1,1.7,1.6,378,792,249,476,129,316,133,153,37,157,194,231,64,13,108,95,1018
Mike Muscala,29,OKC,NBA,2020-21,35,0,645,14.7,0.689,0.135,3,18.4,10.6,7,0.6,1.5,6.9,20,116,115,0.9,0.4,1.3,0.096,0.8,-1.2,-0.3,0.3,119,267,51,83,68,184,33,36,19,113,132,28,8,11,21,54,339
Sviatoslav Mykhailiuk,23,TOT,NBA,2020-21,66,14,1324,10.4,0.621,0.099,1.9,11.4,6.6,12.9,1.9,0.8,14.3,20,98,114,-0.8,1.1,0.3,0.01,-1.9,-0.9,-2.8,-0.3,208,506,103,192,105,314,38,50,24,139,163,110,51,12,88,63,559
Abdel Nader,27,PHO,NBA,2020-21,24,0,355,13.4,0.371,0.319,2.3,17.3,9.9,7.3,1.4,2.3,12.6,19,111,111,0.3,0.4,0.7,0.095,-1.2,0.8,-0.4,0.2,57,116,39,73,18,43,28,37,7,55,62,19,10,9,19,34,160
Larry Nance,28,CLE,NBA,2020-21,35,27,1091,13.2,0.419,0.18,5.4,19,12.1,14.4,2.8,1.4,15.8,13.9,109,111,0.5,1.3,1.8,0.08,-1.1,1.7,0.6,0.7,128,272,87,158,41,114,30,49,54,181,235,107,61,17,55,72,327
Aaron Nesmith,21,BOS,NBA,2020-21,46,1,669,9.4,0.607,0.157,4.6,16.6,10.6,4.6,1.1,1.3,10.8,13.7,113,114,0.5,0.6,1.1,0.076,-2.9,-0.4,-3.2,-0.2,78,178,38,70,40,108,22,28,28,99,127,23,15,9,23,87,218
Raul Neto,28,WAS,NBA,2020-21,64,22,1403,13,0.367,0.19,2.1,9.6,5.9,14,2.4,0.4,9.9,15.8,115,113,1.5,1.3,2.8,0.097,-1.5,0.6,-0.8,0.4,209,447,145,283,64,164,75,85,28,128,156,146,73,6,53,109,557
Georges Niang,27,UTA,NBA,2020-21,72,10,1154,11.4,0.721,0.057,2.7,13,8.1,7.3,1.1,0.6,10.9,17.4,114,111,1.2,1.4,2.6,0.108,-0.5,0.1,-0.4,0.5,177,405,53,113,124,292,22,23,28,148,176,59,25,8,51,116,500
Zeke Nnaji,20,DEN,NBA,2020-21,42,1,397,11.3,0.567,0.144,4,14.5,9.3,3.3,1,1,6,12.9,124,115,0.6,0.3,0.9,0.104,-0.7,-1.4,-2.1,0,50,104,26,45,24,59,12,15,14,51,65,10,8,4,7,29,136
Nerlens Noel,26,NYK,NBA,2020-21,64,41,1547,14.8,0.013,0.314,10.1,18.4,14.3,4.1,2.3,8.7,20.4,9.2,121,101,1.6,3.6,5.2,0.162,-2.5,3.5,1,1.2,137,223,137,220,0,3,50,70,142,266,408,46,70,141,65,176,324
Jaylen Nowell,21,MIN,NBA,2020-21,42,0,759,12.3,0.448,0.164,2.6,11.3,6.8,12.5,1.4,1.4,7.2,21.4,107,117,0.3,0.4,0.7,0.044,-1.5,-1.6,-3.1,-0.2,142,335,92,185,50,150,45,55,19,76,95,62,22,12,28,72,379
Frank Ntilikina,22,NYK,NBA,2020-21,33,4,322,7.7,0.608,0.228,2,8.3,5.2,8.1,2.8,1.2,11.2,13.6,102,108,0,0.5,0.5,0.07,-4.6,2.2,-2.4,0,29,79,6,31,23,48,8,18,6,25,31,19,18,4,11,45,89
Kendrick Nunn,25,MIA,NBA,2020-21,56,44,1650,14.2,0.486,0.091,1.5,10.8,6.2,14.5,1.6,0.9,10.5,20.9,111,113,1.4,1.5,2.9,0.084,-0.4,-0.3,-0.6,0.6,319,658,197,338,122,320,56,60,21,158,179,148,52,14,80,108,816
James Nunnally,30,NOP,NBA,2020-21,9,0,48,8.3,0.923,0.154,4.5,15.8,10.2,8.1,0,0,12.6,13.9,108,119,0,0,0,0.031,-1.5,-1.5,-3,0,5,13,1,1,4,12,1,2,2,7,9,3,0,0,2,1,15
Jusuf Nurkić,26,POR,NBA,2020-21,37,37,880,20.5,0.09,0.339,10.2,30.7,20.2,21.4,2.1,4,16,22.3,113,109,1.2,1.2,2.4,0.133,0.3,1.7,2,0.9,171,333,159,303,12,30,70,113,86,246,332,125,38,39,73,103,424
David Nwaba,28,HOU,NBA,2020-21,30,9,679,14.4,0.289,0.312,6,12.8,9.3,6.9,2.1,2.8,6.4,16.6,115,114,0.7,0.6,1.3,0.094,-1.3,1,-0.3,0.3,106,218,89,155,17,63,47,68,40,78,118,31,30,21,17,60,276
Jordan Nwora,22,MIL,NBA,2020-21,30,2,274,16.1,0.459,0.185,3.6,18.9,11.5,3.6,2.7,2.3,14.1,26,102,108,0,0.4,0.4,0.068,-0.7,-0.6,-1.3,0,62,135,34,73,28,62,19,25,9,51,60,7,16,7,24,22,171
Royce O'Neale,27,UTA,NBA,2020-21,71,71,2241,9.9,0.706,0.117,4.4,18,11.5,10.4,1.2,1.2,16.7,9.6,121,108,2.3,3.3,5.6,0.121,-1.3,1.7,0.4,1.4,175,394,68,116,107,278,39,46,88,397,485,181,57,32,83,182,496
Semi Ojeleye,26,BOS,NBA,2020-21,56,15,950,8.3,0.715,0.145,3.6,13.7,8.6,5.1,0.9,0,8.2,11.6,114,116,0.7,0.6,1.2,0.063,-1.5,-1.2,-2.7,-0.2,89,221,31,63,58,158,24,32,31,116,147,37,17,0,21,56,260
Jahlil Okafor,25,DET,NBA,2020-21,27,2,347,13.1,0.088,0.235,7.3,13.9,10.6,6.1,0.8,1.3,15.7,16.8,114,115,0.3,0.3,0.6,0.082,-2.4,-1.1,-3.5,-0.1,63,102,61,93,2,9,17,24,23,43,66,13,6,5,21,39,145
Chuma Okeke,22,ORL,NBA,2020-21,45,19,1133,11.8,0.435,0.123,3.7,13.2,8.3,13.2,2.1,1.8,10,14.5,107,114,0.3,1,1.3,0.056,-1.8,0.4,-1.4,0.2,135,324,86,183,49,141,30,40,42,139,181,101,48,22,38,48,349
Josh Okogie,22,MIN,NBA,2020-21,59,37,1197,9.1,0.425,0.425,5.5,8.7,7.1,7,2.1,2,12.5,12.1,109,116,0.5,0.8,1.3,0.051,-3.9,0.1,-3.7,-0.5,102,254,73,146,29,108,83,108,63,93,156,63,54,28,43,123,316
Onyeka Okongwu,20,ATL,NBA,2020-21,50,4,601,16.8,0.02,0.383,11.5,18,14.9,4.4,1.9,4.8,14.3,14.7,125,109,1.1,0.8,1.9,0.155,-2.2,0.9,-1.3,0.1,96,149,96,146,0,3,36,57,62,101,163,18,23,33,29,100,228
Isaac Okoro,20,CLE,NBA,2020-21,67,67,2173,7.9,0.383,0.281,3.4,7.3,5.3,8.6,1.4,1,12,14.3,103,117,-0.1,1,0.9,0.02,-4.2,-0.8,-5,-1.6,235,559,173,345,62,214,114,157,68,138,206,128,62,24,86,185,646
KZ Okpala,21,MIA,NBA,2020-21,37,9,447,5.2,0.521,0.156,5.5,11.8,8.7,5.8,1.1,2.6,12.8,11.9,94,113,-0.3,0.4,0.1,0.015,-6.5,-0.7,-7.2,-0.6,36,96,24,46,12,50,8,15,21,47,68,19,10,11,15,59,92
Victor Oladipo,28,TOT,NBA,2020-21,33,33,1080,14.3,0.415,0.24,1.2,15.1,8,22.8,2,1.2,11.5,28.5,100,114,-0.6,1,0.4,0.017,-0.6,-0.9,-1.5,0.1,235,576,157,337,78,239,104,138,12,148,160,151,46,14,83,81,652
Cameron Oliver,24,HOU,NBA,2020-21,4,0,87,17.2,0.394,0.121,5.9,20.5,12.9,9.6,1.1,4.1,7.9,18.5,118,113,0.1,0.1,0.2,0.114,-1.6,-0.9,-2.4,0,19,33,15,20,4,13,1,4,5,16,21,5,2,4,3,11,43
Kelly Olynyk,29,TOT,NBA,2020-21,70,62,1997,16.4,0.528,0.251,4.8,22.5,13.6,16,1.9,2.1,14,19.7,115,110,2.5,2.6,5.1,0.121,0.2,0.9,1.1,1.6,337,697,211,329,126,368,145,175,87,402,489,203,79,42,126,207,945
Miye Oni,23,UTA,NBA,2020-21,54,0,519,6.4,0.889,0.061,4.9,11.9,8.6,6.8,1,1.2,13.6,9.8,110,110,0.2,0.7,0.9,0.081,-3.1,0.9,-2.1,0,35,99,5,11,30,88,5,6,23,61,84,28,11,8,16,61,105
Cedi Osman,25,CLE,NBA,2020-21,59,26,1510,10.3,0.553,0.162,2.8,12.4,7.5,17.7,1.7,0.5,11.3,20.4,100,116,-0.5,1,0.5,0.014,-1.9,-0.9,-2.8,-0.3,219,586,120,262,99,324,76,95,38,163,201,174,53,9,80,119,613
Daniel Oturu,21,LAC,NBA,2020-21,30,0,161,12.5,0.096,0.231,15.1,18.3,16.8,8.5,1.2,3.9,13.6,18.2,106,109,0,0.2,0.3,0.081,-4,-1.6,-5.6,-0.1,22,52,21,47,1,5,9,12,21,27,48,10,4,7,9,24,54
Kelly Oubre,25,GSW,NBA,2020-21,55,50,1687,13.3,0.394,0.244,5.2,15.4,10.4,6.5,1.6,2.2,8,22.1,103,110,0,2.2,2.2,0.062,-1.5,-0.6,-2.1,-0.1,318,724,228,439,90,285,123,177,82,247,329,73,57,42,70,121,849
Jabari Parker,25,TOT,NBA,2020-21,13,0,165,14.7,0.2,0.236,6.7,21.8,14.2,9.9,0.3,2.8,14.1,18.5,113,114,0.2,0.1,0.3,0.089,-0.8,0.1,-0.6,0.1,30,55,28,44,2,11,10,13,10,32,42,11,1,5,10,13,72
Eric Paschall,24,GSW,NBA,2020-21,40,2,695,13.4,0.181,0.315,4.3,15.1,9.8,11.4,0.8,0.9,11.2,23.5,106,113,0.2,0.7,0.9,0.062,-1.7,-1.5,-3.2,-0.2,148,298,130,244,18,54,67,94,28,100,128,51,12,7,43,68,381
Anžejs Pasečņiks,25,WAS,NBA,2020-21,1,0,6,-40.6,1,0,17.7,0,8.8,18.7,0,0,83.3,41.4,21,120,-0.1,0,-0.1,-1.113,-40.1,-7.1,-47.1,-0.1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,5,2,0
Patrick Patterson,31,LAC,NBA,2020-21,38,5,582,10.9,0.679,0.103,3.8,10.5,7.2,6.7,1.2,1.2,6,14,119,113,0.7,0.5,1.2,0.101,-0.4,-0.5,-0.9,0.2,72,165,32,53,40,112,13,17,19,56,75,29,14,8,11,45,197
Justin Patton,23,HOU,NBA,2020-21,13,6,247,11.6,0.486,0.057,5.8,15.8,10.6,8.1,2.3,5.1,5.3,13,108,111,0.1,0.3,0.4,0.076,-3.8,1.7,-2,0,29,70,20,36,9,34,3,4,14,35,49,14,12,14,4,34,70
